Date,TV,newspaper,radio,sales
1/1/2018,230100000,69200000,37800000,22100000
1/2/2018,44500000,45100000,39300000,10400000
1/3/2018,17200000,69300000,45900000,9300000
1/4/2018,151500000,58500000,41300000,18500000
1/5/2018,180800000,58400000,10800000,12900000
1/6/2018,8700000,75000000,48900000,7200000
1/7/2018,57500000,23500000,32800000,11800000
1/8/2018,120200000,11600000,19600000,13200000
1/9/2018,8600000,1000000,2100000,4800000
1/10/2018,199800000,21200000,2600000,10600000
1/11/2018,66100000,24200000,5800000,8600000
1/12/2018,214700000,4000000,24000000,17400000
1/13/2018,23800000,65900000,35100000,9200000
1/14/2018,97500000,7200000,7600000,9700000
1/15/2018,204100000,46000000,32900000,19000000
1/16/2018,195400000,52900000,47700000,22400000
1/17/2018,67800000,114000000,36600000,12500000
1/18/2018,281400000,55800000,39600000,24400000
1/19/2018,69200000,18300000,20500000,11300000
1/20/2018,147300000,19100000,23900000,14600000
1/21/2018,218400000,53400000,27700000,18000000
1/22/2018,237400000,23500000,5100000,12500000
1/23/2018,13200000,49600000,15900000,5600000
1/24/2018,228300000,26200000,16900000,15500000
1/25/2018,62300000,18300000,12600000,9700000
1/26/2018,262900000,19500000,3500000,12000000
1/27/2018,142900000,12600000,29300000,15000000
1/28/2018,240100000,22900000,16700000,15900000
1/29/2018,248800000,22900000,27100000,18900000
1/30/2018,70600000,40800000,16000000,10500000
1/31/2018,292900000,43200000,28300000,21400000
2/1/2018,112900000,38600000,17400000,11900000
2/2/2018,97200000,30000000,1500000,9600000
2/3/2018,265600000,300000,20000000,17400000
2/4/2018,95700000,7400000,1400000,9500000
2/5/2018,290700000,8500000,4100000,12800000
2/6/2018,266900000,5000000,43800000,25400000
2/7/2018,74700000,45700000,49400000,14700000
2/8/2018,43100000,35100000,26700000,10100000
2/9/2018,228000000,32000000,37700000,21500000
2/10/2018,202500000,31600000,22300000,16600000
2/11/2018,177000000,38700000,33400000,17100000
2/12/2018,293600000,1800000,27700000,20700000
2/13/2018,206900000,26400000,8400000,12900000
2/14/2018,25100000,43300000,25700000,8500000
2/15/2018,175100000,31500000,22500000,14900000
2/16/2018,89700000,35700000,9900000,10600000
2/17/2018,239900000,18500000,41500000,23200000
2/18/2018,227200000,49900000,15800000,14800000
2/19/2018,66900000,36800000,11700000,9700000
2/20/2018,199800000,34600000,3100000,11400000
2/21/2018,100400000,3600000,9600000,10700000
2/22/2018,216400000,39600000,41700000,22600000
2/23/2018,182600000,58700000,46200000,21200000
2/24/2018,262700000,15900000,28800000,20200000
2/25/2018,198900000,60000000,49400000,23700000
2/26/2018,7300000,41400000,28100000,5500000
2/27/2018,136200000,16600000,19200000,13200000
2/28/2018,210800000,37700000,49600000,23800000
3/1/2018,210700000,9300000,29500000,18400000
3/2/2018,53500000,21400000,2000000,8100000
3/3/2018,261300000,54700000,42700000,24200000
3/4/2018,239300000,27300000,15500000,15700000
3/5/2018,102700000,8400000,29600000,14000000
3/6/2018,131100000,28900000,42800000,18000000
3/7/2018,69000000,900000,9300000,9300000
3/8/2018,31500000,2200000,24600000,9500000
3/9/2018,139300000,10200000,14500000,13400000
3/10/2018,237400000,11000000,27500000,18900000
3/11/2018,216800000,27200000,43900000,22300000
3/12/2018,199100000,38700000,30600000,18300000
3/13/2018,109800000,31700000,14300000,12400000
3/14/2018,26800000,19300000,33000000,8800000
3/15/2018,129400000,31300000,5700000,11000000
3/16/2018,213400000,13100000,24600000,17000000
3/17/2018,16900000,89400000,43700000,8700000
3/18/2018,27500000,20700000,1600000,6900000
3/19/2018,120500000,14200000,28500000,14200000
3/20/2018,5400000,9400000,29900000,5300000
3/21/2018,116000000,23100000,7700000,11000000
3/22/2018,76400000,22300000,26700000,11800000
3/23/2018,239800000,36900000,4100000,12300000
3/24/2018,75300000,32500000,20300000,11300000
3/25/2018,68400000,35600000,44500000,13600000
3/26/2018,213500000,33800000,43000000,21700000
3/27/2018,193200000,65700000,18400000,15200000
3/28/2018,76300000,16000000,27500000,12000000
3/29/2018,110700000,63200000,40600000,16000000
3/30/2018,88300000,73400000,25500000,12900000
3/31/2018,109800000,51400000,47800000,16700000
4/1/2018,134300000,9300000,4900000,11200000
4/2/2018,28600000,33000000,1500000,7300000
4/3/2018,217700000,59000000,33500000,19400000
4/4/2018,250900000,72300000,36500000,22200000
4/5/2018,107400000,10900000,14000000,11500000
4/6/2018,163300000,52900000,31600000,16900000
4/7/2018,197600000,5900000,3500000,11700000
4/8/2018,184900000,22000000,21000000,15500000
4/9/2018,289700000,51200000,42300000,25400000
4/10/2018,135200000,45900000,41700000,17200000
4/11/2018,222400000,49800000,4300000,11700000
4/12/2018,296400000,100900000,36300000,23800000
4/13/2018,280200000,21400000,10100000,14800000
4/14/2018,187900000,17900000,17200000,14700000
4/15/2018,238200000,5300000,34300000,20700000
4/16/2018,137900000,59000000,46400000,19200000
4/17/2018,25000000,29700000,11000000,7200000
4/18/2018,90400000,23200000,300000,8700000
4/19/2018,13100000,25600000,400000,5300000
4/20/2018,255400000,5500000,26900000,19800000
4/21/2018,225800000,56500000,8200000,13400000
4/22/2018,241700000,23200000,38000000,21800000
4/23/2018,175700000,2400000,15400000,14100000
4/24/2018,209600000,10700000,20600000,15900000
4/25/2018,78200000,34500000,46800000,14600000
4/26/2018,75100000,52700000,35000000,12600000
4/27/2018,139200000,25600000,14300000,12200000
4/28/2018,76400000,14800000,800000,9400000
4/29/2018,125700000,79200000,36900000,15900000
4/30/2018,19400000,22300000,16000000,6600000
5/1/2018,141300000,46200000,26800000,15500000
5/2/2018,18800000,50400000,21700000,7000000
5/3/2018,224000000,15600000,2400000,11600000
5/4/2018,123100000,12400000,34600000,15200000
5/5/2018,229500000,74200000,32300000,19700000
5/6/2018,87200000,25900000,11800000,10600000
5/7/2018,7800000,50600000,38900000,6600000
5/8/2018,80200000,9200000,0,8800000
5/9/2018,220300000,3200000,49000000,24700000
5/10/2018,59600000,43100000,12000000,9700000
5/11/2018,700000,8700000,39600000,1600000
5/12/2018,265200000,43000000,2900000,12700000
5/13/2018,8400000,2100000,27200000,5700000
5/14/2018,219800000,45100000,33500000,19600000
5/15/2018,36900000,65600000,38600000,10800000
5/16/2018,48300000,8500000,47000000,11600000
5/17/2018,25600000,9300000,39000000,9500000
5/18/2018,273700000,59700000,28900000,20800000
5/19/2018,43000000,20500000,25900000,9600000
5/20/2018,184900000,1700000,43900000,20700000
5/21/2018,73400000,12900000,17000000,10900000
5/22/2018,193700000,75600000,35400000,19200000
5/23/2018,220500000,37900000,33200000,20100000
5/24/2018,104600000,34400000,5700000,10400000
5/25/2018,96200000,38900000,14800000,11400000
5/26/2018,140300000,9000000,1900000,10300000
5/27/2018,240100000,8700000,7300000,13200000
5/28/2018,243200000,44300000,49000000,25400000
5/29/2018,38000000,11900000,40300000,10900000
5/30/2018,44700000,20600000,25800000,10100000
5/31/2018,280700000,37000000,13900000,16100000
6/1/2018,121000000,48700000,8400000,11600000
6/2/2018,197600000,14200000,23300000,16600000
6/3/2018,171300000,37700000,39700000,19000000
6/4/2018,187800000,9500000,21100000,15600000
6/5/2018,4100000,5700000,11600000,3200000
6/6/2018,93900000,50500000,43500000,15300000
6/7/2018,149800000,24300000,1300000,10100000
6/8/2018,11700000,45200000,36900000,7300000
6/9/2018,131700000,34600000,18400000,12900000
6/10/2018,172500000,30700000,18100000,14400000
6/11/2018,85700000,49300000,35800000,13300000
6/12/2018,188400000,25600000,18100000,14900000
6/13/2018,163500000,7400000,36800000,18000000
6/14/2018,117200000,5400000,14700000,11900000
6/15/2018,234500000,84800000,3400000,11900000
6/16/2018,17900000,21600000,37600000,8000000
6/17/2018,206800000,19400000,5200000,12200000
6/18/2018,215400000,57600000,23600000,17100000
6/19/2018,284300000,6400000,10600000,15000000
6/20/2018,50000000,18400000,11600000,8400000
6/21/2018,164500000,47400000,20900000,14500000
6/22/2018,19600000,17000000,20100000,7600000
6/23/2018,168400000,12800000,7100000,11700000
6/24/2018,222400000,13100000,3400000,11500000
6/25/2018,276900000,41800000,48900000,27000000
6/26/2018,248400000,20300000,30200000,20200000
6/27/2018,170200000,35200000,7800000,11700000
6/28/2018,276700000,23700000,2300000,11800000
6/29/2018,165600000,17600000,10000000,12600000
6/30/2018,156600000,8300000,2600000,10500000
7/1/2018,218500000,27400000,5400000,12200000
7/2/2018,56200000,29700000,5700000,8700000
7/3/2018,287600000,71800000,43000000,26200000
7/4/2018,253800000,30000000,21300000,17600000
7/5/2018,205000000,19600000,45100000,22600000
7/6/2018,139500000,26600000,2100000,10300000
7/7/2018,191100000,18200000,28700000,17300000
7/8/2018,286000000,3700000,13900000,15900000
7/9/2018,18700000,23400000,12100000,6700000
7/10/2018,39500000,5800000,41100000,10800000
7/11/2018,75500000,6000000,10800000,9900000
7/12/2018,17200000,31600000,4100000,5900000
7/13/2018,166800000,3600000,42000000,19600000
7/14/2018,149700000,6000000,35600000,17300000
7/15/2018,38200000,13800000,3700000,7600000
7/16/2018,94200000,8100000,4900000,9700000
7/17/2018,177000000,6400000,9300000,12800000
7/18/2018,283600000,66200000,42000000,25500000
7/19/2018,232100000,8700000,8600000,13400000
